"date","count"
"11/01/2013","13"
"18/01/2013","14"
"25/01/2013","13"
"01/02/2013","13"
"08/02/2013","13"
"15/02/2013","12"
"22/02/2013","14"
"01/03/2013","10"
"08/03/2013","12"
"15/03/2013","8"
"22/03/2013","10"
"29/03/2013","6"
"05/04/2013","10"
"12/04/2013","8"
"19/04/2013","7"
"26/04/2013","8"
"03/05/2013","9"
"10/05/2013","9"
"17/05/2013","8"
"24/05/2013","7"
"31/05/2013","8"
"07/06/2013","9"
"14/06/2013","9"
"21/06/2013","9"
"28/06/2013","10"
"05/07/2013","11"
"12/07/2013","11"
"19/07/2013","11"
"26/07/2013","12"
"02/08/2013","13"
"09/08/2013","10"
"16/08/2013","11"
"23/08/2013","9"
"30/08/2013","8"
"06/09/2013","9"
"13/09/2013","8"
"20/09/2013","6"
"27/09/2013","7"
"04/10/2013","6"
"11/10/2013","6"
"18/10/2013","5"
"25/10/2013","8"
"01/11/2013","6"
"08/11/2013","8"
"15/11/2013","7"
"22/11/2013","10"
"29/11/2013","10"
"06/12/2013","11"
"13/12/2013","11"
"20/12/2013","11"
"27/12/2013","11"
"03/01/2014","12"
"10/01/2014","13"
"17/01/2014","11"
"24/01/2014","12"
"31/01/2014","9"
"07/02/2014","8"
"14/02/2014","8"
"21/02/2014","9"
"28/02/2014","6"
"07/03/2014","7"
"14/03/2014","6"
"21/03/2014","7"
"28/03/2014","5"
"04/04/2014","6"
"11/04/2014","6"
"18/04/2014","3"
"25/04/2014","11"
"02/05/2014","9"
"09/05/2015","9"
"16/05/2014","8"
"23/05/2014","16"
"30/05/2014","24"
"06/06/2014","23"
"13/06/2014","25"
"20/06/2014","30"
"27/06/2014","26"
"04/07/2014","24"
"11/07/2014","24"
"18/07/2014","21"
"25/07/2014","20"
"01/08/2014","13"
"08/08/2014","15"
"15/08/2014","12"
"22/08/2014","12"
"29/08/2014","10"
"05/09/2014","9"
"12/09/2014","10"
"19/09/2014","11"
"26/09/2014","11"
"03/10/2014","11"
"10/10/2014","11"
"17/10/2014","14"
"24/10/2014","13"
"31/10/2014","17"
"07/11/2014","16"
"14/11/2014","22"
"21/11/2014","22"
"28/11/2014","23"
"05/12/2014","23"
"12/12/2014","21"
"19/12/2014","22"
"26/12/2014","19"
"02/01/2015","20"
"09/01/2015","17"
"16/01/2015","19"
"23/01/2015","24"
"30/01/2015","19"
"06/02/2015","14"
"13/02/2015","19"
"20/02/2015","12"
"27/02/2015","12"
"06/03/2015","8"
"13/03/2015","9"
"20/03/2015","7"
"27/03/2015","6"
"03/04/2015","5"
"10/04/2015","5"
"17/04/2015","3"
"24/04/2015","6"
"01/05/2015","5"
"08/05/2015","5"
"15/05/2015","5"
"22/05/2015","6"
"29/05/2015","5"
"05/06/2015","5"
"12/06/2015","6"
"19/06/2015","6"
"26/06/2015","6"
"03/07/2015","5"
"10/07/2015","7"
"17/07/2015","7"
"24/07/2017","8"
"31/07/2015","7"
"07/08/2015","7"
"14/08/2015","7"
"21/08/2015","5"
"28/08/2015","6"
"04/09/2015","5"
"11/09/2015","4"
"18/09/2015","4"
"25/09/2015","4"
"02/10/2015","4"
"09/10/2015","5"
"16/10/2015","6"
"23/10/2015","8"
"30/10/2015","9"
"06/11/2015","9"
"13/11/2015","9"
"20/11/2015","12"
"27/11/2015","13"
"04/12/2015","15"
"11/12/2015","14"
"18/12/2015","16"
"25/12/2015","11"
"01/01/2016","18"
"08/01/2016","19"
"15/01/2016","20"
"22/01/2016","24"
"29/01/2016","22"
"05/02/2016","17"
"12/02/2016","21"
"19/02/2016","17"
"26/02/2016","14"
"04/03/2016","13"
"11/03/2016","10"
"18/03/2016","12"
"25/03/2016","8"
"01/04/2016","11"
"08/04/2016","9"
"15/04/2016","5"
"22/04/2016","9"
"29/04/2016","10"
"06/05/2016","9"
